UBIGEO,NO_NAC,SI_VIV,NO_VIV,TOTAL_POB,DISTRITO,REGION,PROVINCIA,TASA_MOV
10101,2633,22774,7182,32589,Chachapoyas,Amazonas,Chachapoyas,0.220381110190555
10102,22,220,20,262,Asunción,Amazonas,Chachapoyas,0.0763358778625954
10103,111,938,87,1136,Balsas,Amazonas,Chachapoyas,0.0765845070422535
10104,44,533,65,642,Cheto,Amazonas,Chachapoyas,0.101246105919003
10105,49,483,53,585,Chiliquin,Amazonas,Chachapoyas,0.0905982905982906
10106,184,1472,125,1781,Chuquibamba,Amazonas,Chachapoyas,0.0701852891633914
10107,31,423,26,480,Granada,Amazonas,Chachapoyas,0.0541666666666667
10108,31,684,543,1258,Huancas,Amazonas,Chachapoyas,0.431637519872814
10109,408,3416,154,3978,La Jalca,Amazonas,Chachapoyas,0.0387129210658622
10110,284,2850,486,3620,Leimebamba,Amazonas,Chachapoyas,0.134254143646409
10111,72,648,74,794,Levanto,Amazonas,Chachapoyas,0.0931989924433249
10112,79,645,128,852,Magdalena,Amazonas,Chachapoyas,0.150234741784038
10113,113,1021,233,1367,Mariscal Castilla,Amazonas,Chachapoyas,0.170446232626189
10114,165,1782,229,2176,Molinopampa,Amazonas,Chachapoyas,0.105238970588235
10115,40,403,53,496,Montevideo,Amazonas,Chachapoyas,0.106854838709677
10116,29,305,41,375,Olleros,Amazonas,Chachapoyas,0.109333333333333
10117,51,713,5,769,Quinjalca,Amazonas,Chachapoyas,0.00650195058517555
10118,14,214,67,295,San Francisco de Daguas,Amazonas,Chachapoyas,0.227118644067797
10119,48,488,44,580,San Isidro de Maino,Amazonas,Chachapoyas,0.0758620689655172
10120,87,1077,60,1224,Soloco,Amazonas,Chachapoyas,0.0490196078431373
10121,24,206,17,247,Sonche,Amazonas,Chachapoyas,0.0688259109311741
10201,2200,21740,3162,27102,Bagua,Amazonas,Bagua,0.11667035643126
10202,986,8391,388,9765,Aramango,Amazonas,Bagua,0.0397337429595494
10203,336,4079,180,4595,Copallin,Amazonas,Bagua,0.0391730141458107
10204,106,1065,45,1216,El Parco,Amazonas,Bagua,0.0370065789473684
10205,3587,20563,1012,25162,Imaza,Amazonas,Bagua,0.0402193784277879
10206,546,5299,415,6260,La Peca,Amazonas,Bagua,0.0662939297124601
10301,94,1047,196,1337,Jumbilla,Amazonas,Bongara,0.146596858638743
10302,31,223,52,306,Chisquilla,Amazonas,Bongara,0.169934640522876
10303,23,195,69,287,Churuja,Amazonas,Bongara,0.240418118466899
10304,95,586,91,772,Corosha,Amazonas,Bongara,0.117875647668394
10305,47,569,53,669,Cuispes,Amazonas,Bongara,0.0792227204783259
10306,540,4731,728,5999,Florida,Amazonas,Bongara,0.121353558926488
10307,577,5761,1242,7580,Jazan,Amazonas,Bongara,0.163852242744063
10308,17,172,19,208,Recta,Amazonas,Bongara,0.0913461538461538
10309,27,440,22,489,San Carlos,Amazonas,Bongara,0.0449897750511247
10310,146,1266,127,1539,Shipasbamba,Amazonas,Bongara,0.0825211176088369
10311,65,705,104,874,Valera,Amazonas,Bongara,0.118993135011442
10312,564,4450,563,5577,Yambrasbamba,Amazonas,Bongara,0.100950331719562
10401,2823,14927,876,18626,Nieva,Amazonas,Condorcanqui,0.0470310318909052
10402,1531,8263,97,9891,El Cenepa,Amazonas,Condorcanqui,0.00980689515721363
10403,2339,11518,96,13953,Rio Santiago,Amazonas,Condorcanqui,0.0068802408084283
10501,147,1730,350,2227,Lamud,Amazonas,Luya,0.157162101481814
10502,755,5244,474,6473,Camporredondo,Amazonas,Luya,0.0732272516607446
10503,229,1578,74,1881,Cocabamba,Amazonas,Luya,0.0393407761828814
10504,158,1610,85,1853,Colcamar,Amazonas,Luya,0.0458715596330275
10505,164,1599,77,1840,Conila,Amazonas,Luya,0.0418478260869565
10506,20,453,25,498,Inguilpata,Amazonas,Luya,0.0502008032128514
10507,88,721,30,839,Longuita,Amazonas,Luya,0.0357568533969011
10508,62,730,50,842,Lonya Chico,Amazonas,Luya,0.0593824228028504
10509,333,3229,397,3959,Luya,Amazonas,Luya,0.100277847941399
10510,45,324,19,388,Luya Viejo,Amazonas,Luya,0.0489690721649485
10511,62,628,54,744,María,Amazonas,Luya,0.0725806451612903
10512,341,2877,338,3556,Ocalli,Amazonas,Luya,0.0950506186726659
10513,330,2942,174,3446,Ocumal,Amazonas,Luya,0.0504933255948926
10514,495,4104,169,4768,Pisuquia,Amazonas,Luya,0.0354446308724832
10515,121,1116,79,1316,Providencia,Amazonas,Luya,0.0600303951367781
10516,48,471,27,546,San Cristobal,Amazonas,Luya,0.0494505494505495
10517,70,565,60,695,San Francisco del Yeso,Amazonas,Luya,0.0863309352517986
10518,43,554,36,633,San Jerónimo,Amazonas,Luya,0.0568720379146919
